giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-04-13,OZATD,kirilim,7.8,0.971,253.25,3742.0,2026-04-13,260.8475,hedef,2.97,111.0,6.42,
2026-04-13,SAMAT,dip,5.5,0.027,5.21,3742.0,2026-04-15,5.3663,hedef,2.97,111.0,3.26,
2026-04-13,SMRVA,dip,5.1,0.055,15.2411,3742.0,2026-04-13,14.7839,stop,-3.03,-113.0,1.81,
2026-04-13,SOKE,kirilim,6.8,1.134,16.76,3742.0,2026-04-14,17.2628,hedef,2.97,111.0,6.68,
2026-04-13,TMPOL,kirilim,11.3,1.044,647.0,3742.0,2026-04-13,627.59,stop,-3.03,-113.0,1.47,
2026-04-14,AZTEK,dip,12.1,0.185,4.07,5758.0,2026-04-15,4.1921,hedef,2.97,171.0,7.13,
2026-04-14,BANVT,dip,5.3,0.12,162.0,5758.0,2026-04-16,166.86,hedef,2.97,171.0,3.15,
2026-04-14,EUREN,dip,10.8,0.141,5.42,5758.0,2026-04-14,5.2574,stop,-3.03,-175.0,0.37,
2026-04-14,RYSAS,kirilim,5.0,1.015,22.68,5758.0,2026-04-15,23.3604,hedef,2.97,171.0,3.62,
2026-04-14,VSNMD,dip,10.2,0.021,88.55,5758.0,2026-04-15,91.2065,hedef,2.97,171.0,3.44,
2026-04-15,GENTS,dip,8.3,-0.035,7.04,6644.0,2026-04-15,7.2512,hedef,2.97,197.0,3.41,
2026-04-15,TUREX,dip,6.3,0.056,8.97,6644.0,2026-04-16,9.2391,hedef,2.97,197.0,4.68,
2026-04-16,ADESE,dip,9.2,0.182,1.14,4069.0,2026-04-17,1.1742,hedef,2.97,121.0,3.51,
2026-04-16,AGROT,dip,19.5,0.195,3.1,4069.0,2026-04-16,3.007,stop,-3.03,-123.0,0.0,
2026-04-16,BORLS,dip,11.7,0.105,5.81,4069.0,2026-04-16,5.6357,stop,-3.03,-123.0,0.0,
2026-04-16,CWENE,kirilim,6.8,1.005,36.14,4069.0,2026-04-16,37.2242,hedef,2.97,121.0,3.04,
2026-04-16,DERHL,dip,6.3,0.02,15.95,4069.0,2026-04-16,16.4285,hedef,2.97,121.0,4.08,
2026-04-16,TUREX,dip,5.8,0.06,9.17,4069.0,2026-04-16,8.8949,stop,-3.03,-123.0,0.76,
2026-04-16,VSNMD,dip,8.8,0.037,100.7,4069.0,2026-04-16,103.721,hedef,2.97,121.0,4.47,
2026-04-17,ETILR,dip,13.8,0.195,4.15,12392.0,2026-04-17,4.2745,hedef,2.97,368.0,4.82,
2026-04-17,MERCN,dip,13.7,0.163,20.62,12392.0,2026-04-17,20.0014,stop,-3.03,-376.0,2.04,
2026-04-17,PRZMA,kirilim,6.2,0.978,17.3,12392.0,2026-04-17,17.819,hedef,2.97,368.0,4.05,
2026-04-20,AKCNS,kirilim,9.1,0.998,220.8,29812.0,2026-04-22,214.176,stop,-3.03,-904.0,0.18,
2026-04-20,CRFSA,kirilim,7.8,0.818,173.6,29812.0,2026-04-20,178.808,hedef,2.97,885.0,8.87,
2026-04-20,HATEK,dip,8.9,0.136,15.94,29812.0,2026-04-21,16.4182,hedef,2.97,885.0,3.14,
2026-04-20,SKYLP,kirilim,5.7,0.994,359.25,29812.0,2026-04-20,348.4725,stop,-3.03,-904.0,0.49,
2026-04-21,KARTN,kirilim,6.2,0.968,101.2,19868.0,2026-04-21,98.164,stop,-3.03,-603.0,0.59,
2026-04-21,ULUSE,kirilim,8.5,1.086,261.0,19868.0,2026-04-21,253.17,stop,-3.03,-603.0,0.0,
2026-04-21,USAK,dip,5.6,0.134,1.95,19868.0,2026-04-21,1.8915,stop,-3.03,-603.0,0.0,
2026-04-22,ESEN,dip,16.9,0.061,4.49,29497.0,2026-04-22,4.3553,stop,-3.03,-895.0,0.0,
2026-04-22,NATEN,dip,5.4,0.123,7.52,29497.0,2026-04-22,7.2944,stop,-3.03,-895.0,0.4,
2026-04-22,PKART,kirilim,7.0,1.169,103.3,29497.0,2026-04-22,100.201,stop,-3.03,-895.0,0.68,
