tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2026-05-20,12.582450772625876,-0.004790419161676551,-0.037000000000000026,stop,SANFM
2026-04-06,13.767896783107206,-0.024621212121212155,-0.028359223300970952,kapanis,SANKO
2026-05-04,9.947277232334146,-0.023696682464455,-0.037000000000000026,stop,SANKO
2026-06-01,13.722563027154816,0.027506654835847355,-0.030316062176165774,kapanis,SANKO
2026-04-29,9.153013763740782,-0.012264150943396168,-0.037000000000000026,stop,SAYAS
2026-04-07,10.628126731406999,-0.03709550118389904,-0.037000000000000026,stop,SEGMN
2026-04-21,9.129661709321848,0.0074906367041198685,-0.037000000000000026,stop,SELVA
2026-04-29,20.91848008463249,0.0607843137254902,-0.037000000000000026,stop,SEYKM
2026-03-31,10.603234180556475,-0.004137931034482789,-0.037000000000000026,stop,SKYMD
2026-04-02,18.439998627799515,0.04841269841269824,-0.037000000000000026,stop,SMRVA
2023-06-08,12.283415151177062,0.0,-0.007,kapanis,SODSN
2026-04-13,10.828502952868032,0.04914933837429114,0.0116186186186188,kapanis,SOKE
2023-10-23,20.911350455675226,-0.01832460732984298,0.011666666666666832,kapanis,SUMAS
2025-01-10,8.694414316702819,0.1342086068563093,-0.037000000000000026,stop,SUMAS
2026-04-17,13.87089465091824,0.03144016227180524,-0.036999999999999915,stop,SUNTK
2026-05-07,9.928435597890395,0.012632978723404298,-0.03700000000000014,stop,SURGY
2026-04-02,11.384287742546142,0.028350515463917425,-0.037000000000000026,stop,TARKM
2026-05-05,10.079400932190328,-0.011714589989350377,0.0037758620689655248,kapanis,TARKM
2026-05-18,21.114143637538923,-0.01010638297872346,0.043000000000000045,hedef,TGSAS
2026-04-20,10.127854946424087,-0.011529592621060791,-0.037000000000000026,stop,TKNSA
2026-04-13,11.308282798673579,0.012499999999999956,0.043000000000000045,hedef,TMPOL
2026-04-09,22.323642322489796,-0.020183486238532167,0.043000000000000045,hedef,TMSN
2026-05-08,9.371890341222585,-0.007851534618129818,-0.037000000000000026,stop,TNZTP
2026-05-12,9.026993197759587,-0.01132075471698113,-0.037000000000000026,stop,TRCAS
2026-05-18,10.743101583878495,-0.02385685884691846,-0.015146639511201647,kapanis,TRGYO
2026-04-17,15.856733595267775,-0.012299467866971447,-0.029739576273276162,kapanis,TRILC
2026-04-29,8.525460345434302,0.013404825737265424,-0.037000000000000026,stop,TRILC
2026-04-06,8.953314951093834,-0.010101010101010055,-0.017204081632653072,kapanis,TSPOR
2026-05-15,9.171093718206345,0.05842696629213484,-0.037000000000000026,stop,TUCLK
2026-04-02,9.362303610515463,0.0012820512820512775,0.043000000000000045,hedef,TUREX
2026-06-04,11.45995183309624,-0.017391304347826098,0.043000000000000045,hedef,TUREX
2026-04-07,20.363731071781746,-0.027315914489311255,-0.037000000000000026,stop,TURGG
2026-04-24,17.1198881125042,0.030270270270270183,0.006116474291710478,kapanis,TURGG
2026-05-20,8.286305979808438,-0.04218533886583675,-0.036999999999999915,stop,UFUK
2026-03-30,13.95342751116159,0.0020523345305285545,-0.03700000000000014,stop,ULAS
2026-04-02,11.793456637574714,0.0,0.043000000000000045,hedef,ULAS
2026-04-27,13.006524946567803,0.009302325581395321,0.043000000000000045,hedef,ULUFA
2026-06-05,15.637268943449547,0.01750000000000007,-0.037000000000000026,stop,ULUFA
2026-04-14,12.851737893776496,0.03596059113300498,0.02057964812173075,kapanis,ULUSE
2026-04-24,8.694631283667562,-0.04954954954954971,-0.036999999999999915,stop,ULUUN
2020-12-11,9.008872194395837,0.0,-0.007,kapanis,UMPAS
2022-12-19,10.66994050556807,0.0,0.02700000000000003,kapanis,UMPAS
2024-01-24,10.59571272859392,-0.07325581395348835,-0.0032358845671266396,kapanis,UMPAS
2026-05-07,12.587043860825297,0.03166666666666673,-0.007,kapanis,VBTYZ
2026-05-08,12.538090967532003,-0.012403100775193798,-0.037000000000000026,stop,VBTYZ
2026-05-21,16.1383493692341,-0.046904315196998114,-0.037000000000000026,stop,VERTU
2026-04-01,8.234295996424045,0.0,-0.037000000000000026,stop,VKING
2026-05-08,14.679382861222518,-0.014757554462403455,0.00013266761768904786,kapanis,VKING
2026-04-09,12.846561589042377,0.0652173913043479,0.0011632653061225467,kapanis,VRGYO
2026-04-10,10.953247008570775,0.02734375,-0.037000000000000026,stop,VRGYO
2026-04-15,16.025404193457852,0.06331877729257651,-0.007,kapanis,VSNMD
2026-06-03,14.541196237318657,0.02530364372469629,-0.037000000000000026,stop,VSNMD
2026-05-11,55.06340200343926,0.0,-0.007,kapanis,YATAS
2026-04-01,15.141511581688345,-0.07984496124031015,-0.037000000000000026,stop,YAYLA
2026-04-27,12.07581293429551,0.00136986301369868,-0.037000000000000026,stop,YAYLA
2022-01-27,9.55414012738815,-0.03774197036876836,0.019122137852179873,kapanis,YBTAS
2022-08-02,8.925619834710247,-0.030283761227247408,-0.02343442622950819,kapanis,YBTAS
2025-03-25,11.829268292682373,-0.02035572329064117,0.013778688524590195,kapanis,YBTAS
